ROUND,IP_ADDRESS,DOWNLOADS,EXTERNAL_ID,NAME,FULL_TITLE,DOI,CODE,LATEST_TITLE
201601,61.219.55.200,2,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.219.55.201,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.219.55.202,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.219.55.204,2,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.220.116.132,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.220.116.133,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.220.116.134,3,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.220.116.138,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.220.116.139,3,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.220.116.141,5,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials,10.1002/(ISSN)1521-4095,2089,Advanced Materials
201601,61.219.55.198,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Materials Interfaces,10.1002/(ISSN)2196-7350,E706,Advanced Materials Interfaces
201601,60.250.162.10,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,60.250.162.102,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,60.250.162.103,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,60.250.162.109,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,60.250.162.12,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,61.219.55.201,2,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,61.219.55.202,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,61.219.55.205,2,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,61.220.116.133,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,61.220.116.137,1,EAL0001730,CONCERT - National Taipei University of Technology,Advanced Optical Materials,10.1002/(ISSN)2195-1071,E298,Advanced Optical Materials 
201601,60.250.162.7,1,EAL0001730,CONCERT - National Taipei University of Technology,Advances in Polymer Technology,10.1002/(ISSN)1098-2329,ADV,Advances in Polymer Technology
201601,60.250.162.108,1,EAL0001730,CONCERT - National Taipei University of Technology,AIChE Journal,10.1002/(ISSN)1547-5905,AIC,AIChE Journal
201601,60.250.162.109,1,EAL0001730,CONCERT - National Taipei University of Technology,AIChE Journal,10.1002/(ISSN)1547-5905,AIC,AIChE Journal
201601,60.250.162.4,1,EAL0001730,CONCERT - National Taipei University of Technology,AIChE Journal,10.1002/(ISSN)1547-5905,AIC,AIChE Journal
201601,61.219.55.201,1,EAL0001730,CONCERT - National Taipei University of Technology,AIChE Journal,10.1002/(ISSN)1547-5905,AIC,AIChE Journal
201601,61.219.55.205,1,EAL0001730,CONCERT - National Taipei University of Technology,AIChE Journal,10.1002/(ISSN)1547-5905,AIC,AIChE Journal
201601,61.220.116.137,1,EAL0001730,CONCERT - National Taipei University of Technology,AIChE Journal,10.1002/(ISSN)1547-5905,AIC,AIChE Journal
201601,60.250.162.6,1,EAL0001730,CONCERT - National Taipei University of Technology,Allergy,10.1111/(ISSN)1398-9995,ALL,Allergy
201601,140.124.4.102,1,EAL0001730,CONCERT - National Taipei University of Technology,American Journal of Industrial Medicine,10.1002/(ISSN)1097-0274,AJIM,American Journal of Industrial Medicine
201601,60.250.162.102,1,EAL0001730,CONCERT - National Taipei University of Technology,American Journal of Transplantation,10.1111/(ISSN)1600-6143,AJT,American Journal of Transplantation
201601,60.250.162.104,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie,10.1002/(ISSN)1521-3757,2001,Angewandte Chemie
201601,60.250.162.107,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie,10.1002/(ISSN)1521-3757,2001,Angewandte Chemie
201601,60.250.162.4,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie,10.1002/(ISSN)1521-3757,2001,Angewandte Chemie
201601,60.250.162.7,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie,10.1002/(ISSN)1521-3757,2001,Angewandte Chemie
201601,61.219.55.202,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie,10.1002/(ISSN)1521-3757,2001,Angewandte Chemie
201601,61.220.116.133,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie,10.1002/(ISSN)1521-3757,2001,Angewandte Chemie
201601,60.250.162.100,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.103,2,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.105,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.107,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.109,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.13,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.5,3,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.7,2,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.8,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.9,2,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.219.55.197,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.219.55.198,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.219.55.199,3,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.219.55.201,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.219.55.205,2,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.220.116.132,3,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.220.116.135,2,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.220.116.136,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.220.116.137,1,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.220.116.140,5,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,61.220.116.141,2,EAL0001730,CONCERT - National Taipei University of Technology,Angewandte Chemie International Edition,10.1002/(ISSN)1521-3773,2002,Angewandte Chemie International Edition
201601,60.250.162.8,1,EAL0001730,CONCERT - National Taipei University of Technology,Animal Genetics,10.1111/(ISSN)1365-2052,AGE,Animal Genetics
201601,60.250.162.109,1,EAL0001730,CONCERT - National Taipei University of Technology,Annalen der Physik,10.1002/(ISSN)1521-3889,2257,Annalen der Physik
201601,60.250.162.8,1,EAL0001730,CONCERT - National Taipei University of Technology,Annalen der Physik,10.1002/(ISSN)1521-3889,2257,Annalen der Physik
201601,61.219.55.203,1,EAL0001730,CONCERT - National Taipei University of Technology,Annalen der Physik,10.1002/(ISSN)1521-3889,2257,Annalen der Physik
201601,60.250.162.100,1,EAL0001730,CONCERT - National Taipei University of Technology,Annual Review of Information Science and Technology,10.1002/(ISSN)1550-8382,ARI2,Journal of the Association for Information Science and Technology
201601,60.250.162.108,1,EAL0001730,CONCERT - National Taipei University of Technology,Annual Review of Information Science and Technology,10.1002/(ISSN)1550-8382,ARI2,Journal of the Association for Information Science and Technology
201601,60.250.162.103,1,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
201601,60.250.162.109,1,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
201601,60.250.162.4,1,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
201601,60.250.162.6,1,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
201601,60.250.162.7,1,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
201601,61.219.55.200,2,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
201601,61.220.116.134,2,EAL0001730,CONCERT - National Taipei University of Technology,Applied Organometallic Chemistry,10.1002/(ISSN)1099-0739,AOC,Applied Organometallic Chemistry
