140.124.184.xxx,資工系
140.124.185.xxx,校內未定義
140.124.186.xxx,校內未定義
140.124.187.xxx,校內未定義
140.124.188.xxx,校內未定義
140.124.189.xxx,校內未定義
140.124.190.xxx,中正館
140.124.191.xxx,招生聯合會
140.124.192.xxx,校內未定義
140.124.193.xxx,校內未定義
140.124.194.xxx,校內未定義
140.124.195.xxx,校內未定義
140.124.196.xxx,校內未定義
140.124.197.xxx,校內未定義
140.124.198.xxx,校內未定義
140.124.199.xxx,校內未定義
140.124.200.xxx,校內未定義
140.124.201.xxx,自動化中心
140.124.202.xxx,校內未定義
140.124.203.xxx,校內未定義
140.124.204.xxx,校內未定義
140.124.205.xxx,校內未定義
140.124.206.xxx,校內未定義
140.124.207.xxx,校內未定義
140.124.208.xxx,校內未定義
140.124.209.xxx,校內未定義
140.124.210.xxx,校內未定義
140.124.211.xxx,校內未定義
140.124.212.xxx,校內未定義
140.124.213.xxx,校內未定義
140.124.214.xxx,校內未定義
140.124.215.xxx,校內未定義
140.124.216.xxx,校內未定義
140.124.217.xxx,校內未定義
140.124.218.xxx,校內未定義
140.124.219.xxx,校內未定義
140.124.220.xxx,校內未定義
140.124.221.xxx,校內未定義
140.124.222.xxx,校內未定義
140.124.223.xxx,校內未定義
140.124.224.xxx,校內未定義
140.124.225.xxx,校內未定義
140.124.226.xxx,校內未定義
140.124.227.xxx,校內未定義
140.124.228.xxx,校內未定義
140.124.229.xxx,校內未定義
140.124.230.xxx,校內未定義
140.124.231.xxx,校內未定義
140.124.232.xxx,校內未定義
140.124.233.xxx,校內未定義
140.124.234.xxx,校內未定義
140.124.235.xxx,校內未定義
140.124.236.xxx,校內未定義
140.124.237.xxx,校內未定義
140.124.238.xxx,校內未定義
140.124.239.xxx,校內未定義
140.124.240.xxx,教職員ADSL
140.124.241.xxx,教職員ADSL
140.124.242.xxx,校內未定義
140.124.243.xxx,校內未定義
140.124.244.xxx,校內未定義
140.124.245.xxx,校內未定義
140.124.246.xxx,校內未定義
140.124.247.xxx,校內未定義
140.124.248.xxx,校內未定義
140.124.249.xxx,無線網路
140.124.250.xxx,無線網路
140.124.251.xxx,校內未定義
140.124.252.xxx,校內未定義
140.124.253.xxx,校內未定義
140.124.254.xxx,校內未定義
140.124.255.xxx,校內未定義
